temphigh,templow,is_holiday,wind,humidity,tempavg,hour,dayofweek,weekofyear,ypreds
-3,-9,0,9,57,-6,0,3,3,551.1499
-4,-10,0,10,63,-7,1,3,3,558.4202
-4,-10,0,10,68,-7,2,3,3,552.0297
-4,-10,0,9,70,-7,3,3,3,540.6449
-5,-11,0,9,72,-8,4,3,3,556.1919
-5,-11,0,8,75,-8,5,3,3,550.36774
-5,-11,0,8,78,-8,6,3,3,543.66345
-6,-12,0,8,81,-9,7,3,3,652.1266
-6,-12,0,9,84,-9,8,3,3,712.3041
-4,-10,0,9,76,-7,9,3,3,556.1277
-2,-8,0,10,65,-5,10,3,3,513.56024
0,-6,0,10,56,-3,11,3,3,512.10425
2,-4,0,11,49,-1,12,3,3,572.9984
3,-3,0,12,46,0,13,3,3,544.6644
3,-3,0,12,44,0,14,3,3,535.53186
4,-2,0,12,43,1,15,3,3,480.07806
3,-3,0,11,46,0,16,3,3,473.9892
3,-3,0,10,52,0,17,3,3,375.4952
2,-4,0,10,55,-1,18,3,3,413.53897
1,-5,0,9,61,-2,19,3,3,433.06085
0,-6,0,8,67,-3,20,3,3,480.2054
-1,-7,0,8,72,-4,21,3,3,509.33762
-2,-8,0,6,77,-5,22,3,3,549.4756
-2,-8,0,7,78,-5,23,3,3,563.3959
