时间,energy
2019-06-01 00:00:00,-52343
2019-06-01 01:00:00,-52343
2019-06-01 02:00:00,-52619
2019-06-01 03:00:00,-52743
2019-06-01 04:00:00,-52786
2019-06-01 05:00:00,-52958
2019-06-01 06:00:00,-53079
2019-06-01 07:00:00,-53162
2019-06-01 08:00:00,-53250
2019-06-01 09:00:00,-53424
2019-06-01 10:00:00,-53525
2019-06-01 11:00:00,-53618
2019-06-01 13:00:00,-53694
2019-06-01 14:00:00,-53962
2019-06-01 15:00:00,-54022
2019-06-01 16:00:00,-54176
2019-06-01 17:00:00,-54295
2019-06-01 18:00:00,-54407
2019-06-01 19:00:00,-54491
2019-06-01 20:00:00,-54630
2019-06-01 21:00:00,-54708
2019-06-01 22:00:00,-54844
2019-06-01 23:00:00,-54951
2019-06-02 00:00:00,-55024
2019-06-02 01:00:00,-55165
2019-06-02 02:00:00,-55270
2019-06-02 03:00:00,-55388
2019-06-02 04:00:00,-55508
2019-06-02 05:00:00,-55597
2019-06-02 06:00:00,-55722
2019-06-02 07:00:00,-55769
2019-06-02 08:00:00,-55918
2019-06-02 09:00:00,-56033
2019-06-02 10:00:00,-56133
2019-06-02 11:00:00,-56198
2019-06-02 12:00:00,-56317
2019-06-02 13:00:00,-56394
2019-06-02 14:00:00,-56495
2019-06-02 15:00:00,-56576
2019-06-02 16:00:00,-56692
2019-06-02 17:00:00,-56775
2019-06-02 18:00:00,-56891
2019-06-02 19:00:00,-56995
2019-06-02 20:00:00,-57088
2019-06-02 21:00:00,-57154
2019-06-02 22:00:00,-57300
2019-06-02 23:00:00,-57368
2019-06-03 00:00:00,-57462
2019-06-03 01:00:00,-57558
2019-06-03 02:00:00,-57677
2019-06-03 03:00:00,-57772
2019-06-03 04:00:00,-57873
2019-06-03 05:00:00,-57961
2019-06-03 06:00:00,-58053
2019-06-03 07:00:00,-58142
2019-06-03 08:00:00,-58235
2019-06-03 09:00:00,-58331
2019-06-03 10:00:00,-58439
2019-06-03 11:00:00,-58522
2019-06-03 12:00:00,-58623
2019-06-03 13:00:00,-58777
2019-06-03 14:00:00,-58790
2019-06-03 16:00:00,0
2019-06-03 17:00:00,-59132
2019-06-03 18:00:00,-59251
2019-06-03 19:00:00,-59390
2019-06-03 20:00:00,-59516
2019-06-03 21:00:00,-59651
2019-06-03 22:00:00,-59731
2019-06-03 23:00:00,-59851
2019-06-04 00:00:00,-59951
2019-06-04 01:00:00,-60073
2019-06-04 02:00:00,-60181
2019-06-04 03:00:00,-60287
2019-06-04 04:00:00,-60350
2019-06-04 05:00:00,-60409
2019-06-04 06:00:00,-60580
2019-06-04 07:00:00,-60676
2019-06-04 08:00:00,-60762
2019-06-04 09:00:00,-60879
2019-06-04 10:00:00,-60972
2019-06-04 11:00:00,-61058
2019-06-04 12:00:00,-61152
2019-06-04 13:00:00,-61197
2019-06-04 15:00:00,-61438
2019-06-04 16:00:00,-61544
2019-06-04 17:00:00,-61588
2019-06-04 18:00:00,-61709
2019-06-04 19:00:00,-61808
2019-06-04 20:00:00,-61911
2019-06-04 21:00:00,-62003
2019-06-04 22:00:00,-62043
2019-06-04 23:00:00,-62179
2019-06-05 00:00:00,-62283
2019-06-05 01:00:00,-62352
2019-06-05 02:00:00,-62383
2019-06-05 03:00:00,-62383
2019-06-05 04:00:00,-62604
2019-06-05 05:00:00,-62716
2019-06-05 06:00:00,-62800
2019-06-05 07:00:00,-62886
2019-06-05 08:00:00,-62886
2019-06-05 09:00:00,-63062
2019-06-05 10:00:00,-63130
2019-06-05 11:00:00,-63234
2019-06-05 12:00:00,-63288
2019-06-05 13:00:00,-63415
2019-06-05 14:00:00,-63435
2019-06-05 15:00:00,-63557
2019-06-05 16:00:00,-63670
2019-06-05 17:00:00,-63809
2019-06-05 18:00:00,-63888
2019-06-05 19:00:00,-63986
2019-06-05 20:00:00,-63986
2019-06-05 21:00:00,-64174
2019-06-05 22:00:00,-64232
2019-06-05 23:00:00,-64330
2019-06-06 00:00:00,-64438
2019-06-06 01:00:00,-64506
2019-06-06 02:00:00,-64603
2019-06-06 03:00:00,-64628
2019-06-06 04:00:00,-64773
2019-06-06 05:00:00,-64851
2019-06-06 06:00:00,-64886
2019-06-06 07:00:00,-64994
2019-06-06 08:00:00,-65098
2019-06-06 09:00:00,-65152
2019-06-06 10:00:00,-65254
2019-06-06 11:00:00,-65368
2019-06-06 12:00:00,-65467
2019-06-06 13:00:00,-65571
2019-06-06 14:00:00,-65658
2019-06-06 15:00:00,-65670
2019-06-06 16:00:00,-65832
2019-06-06 17:00:00,-65845
2019-06-06 18:00:00,-66004
2019-06-06 19:00:00,-66121
2019-06-06 20:00:00,-66193
2019-06-06 21:00:00,-66308
2019-06-06 22:00:00,-66373
2019-06-06 23:00:00,-66479
2019-06-07 00:00:00,-66589
2019-06-07 01:00:00,-66667
2019-06-07 02:00:00,-66733
2019-06-07 03:00:00,-66845
2019-06-07 04:00:00,-66945
2019-06-07 05:00:00,-67034
2019-06-07 06:00:00,-67114
2019-06-07 07:00:00,-67205
2019-06-07 08:00:00,-67278
2019-06-07 09:00:00,-67376
2019-06-07 10:00:00,-67445
2019-06-07 11:00:00,-67550
2019-06-07 12:00:00,-67577
2019-06-07 13:00:00,-67687
2019-06-07 14:00:00,-67777
2019-06-07 15:00:00,-67869
2019-06-07 16:00:00,-67985
2019-06-07 17:00:00,-68079
2019-06-07 18:00:00,-68158
2019-06-07 19:00:00,-68263
2019-06-07 20:00:00,-68346
2019-06-07 21:00:00,-68445
2019-06-07 22:00:00,-68484
2019-06-07 23:00:00,-68637
2019-06-08 00:00:00,-68702
2019-06-08 01:00:00,-68807
2019-06-08 02:00:00,-68914
2019-06-08 03:00:00,-68966
2019-06-08 04:00:00,-69029
2019-06-08 05:00:00,-69029
2019-06-08 06:00:00,-69245
2019-06-08 07:00:00,-69322
2019-06-08 08:00:00,-69403
2019-06-08 09:00:00,-69403
2019-06-08 10:00:00,-69403
2019-06-08 11:00:00,-69706
2019-06-08 12:00:00,-69796
2019-06-08 13:00:00,-69796
2019-06-08 14:00:00,-69974
2019-06-08 15:00:00,-70067
2019-06-08 16:00:00,-70167
2019-06-08 17:00:00,-70241
2019-06-08 18:00:00,-70350
2019-06-08 19:00:00,-70451
2019-06-08 20:00:00,-70533
2019-06-08 21:00:00,-70626
2019-06-08 22:00:00,-70733
