,SDATE,energy,temphigh,templow,is_holiday,wind,humidity,tempavg,hour,dayofweek,weekofyear
0,2019-06-21 01:00:00,162.0,24,24,0,11,85,24,1,5,25
1,2019-06-21 02:00:00,163.0,24,24,0,11,85,24,2,5,25
2,2019-06-21 03:00:00,163.0,24,24,0,11,85,24,3,5,25
3,2019-06-21 04:00:00,154.0,24,24,0,11,85,24,4,5,25
4,2019-06-21 05:00:00,160.0,24,24,0,11,85,24,5,5,25
5,2019-06-21 06:00:00,157.0,29,24,0,19,67,26,6,5,25
6,2019-06-21 07:00:00,159.0,29,24,0,19,67,26,7,5,25
7,2019-06-21 08:00:00,157.0,29,24,0,19,67,26,8,5,25
8,2019-06-21 09:00:00,147.0,29,24,0,19,67,26,9,5,25
9,2019-06-21 10:00:00,145.0,29,24,0,19,67,26,10,5,25
10,2019-06-21 11:00:00,154.0,29,24,0,19,67,26,11,5,25
11,2019-06-21 12:00:00,149.0,30,27,0,21,38,28,12,5,25
12,2019-06-21 13:00:00,159.0,30,27,0,21,38,28,13,5,25
13,2019-06-21 14:00:00,188.0,30,27,0,21,38,28,14,5,25
14,2019-06-21 15:00:00,171.0,30,27,0,21,38,28,15,5,25
15,2019-06-21 16:00:00,67.0,30,27,0,21,38,28,16,5,25
16,2019-06-21 18:00:00,135.0,27,22,0,9,44,24,18,5,25
17,2019-06-21 19:00:00,234.0,27,22,0,9,44,24,19,5,25
18,2019-06-21 20:00:00,208.0,27,22,0,9,44,24,20,5,25
19,2019-06-21 21:00:00,194.0,27,22,0,9,44,24,21,5,25
20,2019-06-21 22:00:00,185.0,27,22,0,9,44,24,22,5,25
21,2019-06-21 23:00:00,179.0,27,22,0,9,44,24,23,5,25
22,2019-06-22 00:00:00,174.0,22,20,1,4,70,21,0,6,25
23,2019-06-22 01:00:00,169.0,22,20,1,4,70,21,1,6,25
24,2019-06-22 02:00:00,165.0,22,20,1,4,70,21,2,6,25
25,2019-06-22 03:00:00,160.0,22,20,1,4,70,21,3,6,25
26,2019-06-22 04:00:00,162.0,22,20,1,4,70,21,4,6,25
27,2019-06-22 05:00:00,157.0,22,20,1,4,70,21,5,6,25
28,2019-06-22 06:00:00,154.0,32,22,1,6,41,27,6,6,25
29,2019-06-22 07:00:00,155.0,32,22,1,6,41,27,7,6,25
30,2019-06-22 08:00:00,150.0,32,22,1,6,41,27,8,6,25
31,2019-06-22 09:00:00,154.0,32,22,1,6,41,27,9,6,25
32,2019-06-22 12:00:00,155.0,35,32,1,6,26,33,12,6,25
33,2019-06-22 13:00:00,158.0,35,32,1,6,26,33,13,6,25
34,2019-06-22 14:00:00,159.0,35,32,1,6,26,33,14,6,25
35,2019-06-22 15:00:00,160.0,35,32,1,6,26,33,15,6,25
36,2019-06-22 16:00:00,130.0,35,32,1,6,26,33,16,6,25
37,2019-06-22 17:00:00,128.0,35,32,1,6,26,33,17,6,25
38,2019-06-22 18:00:00,132.0,34,24,1,8,51,29,18,6,25
39,2019-06-22 19:00:00,135.0,34,24,1,8,51,29,19,6,25
40,2019-06-22 20:00:00,135.0,34,24,1,8,51,29,20,6,25
41,2019-06-22 21:00:00,137.0,34,24,1,8,51,29,21,6,25
42,2019-06-22 22:00:00,137.0,34,24,1,8,51,29,22,6,25
