,SDATE,energy,temphigh,templow,is_holiday,wind,humidity,tempavg,hour,dayofweek,weekofyear
0,2019-11-11 00:00:00,278.0999999999767,13,5,0,4,54,9,0,1,46
1,2019-11-11 01:00:00,280.0,13,5,0,4,54,9,1,1,46
2,2019-11-11 02:00:00,280.2999999999884,13,5,0,4,54,9,2,1,46
3,2019-11-11 03:00:00,273.0,13,5,0,4,54,9,3,1,46
4,2019-11-11 04:00:00,278.1000000000349,13,5,0,4,54,9,4,1,46
5,2019-11-11 05:00:00,265.7999999999884,13,5,0,4,54,9,5,1,46
6,2019-11-11 06:00:00,269.5,18,4,0,4,43,11,6,1,46
7,2019-11-11 07:00:00,258.9000000000233,18,4,0,4,43,11,7,1,46
8,2019-11-11 08:00:00,271.0999999999767,18,4,0,4,43,11,8,1,46
9,2019-11-11 09:00:00,267.70000000001164,18,4,0,4,43,11,9,1,46
10,2019-11-11 10:00:00,266.70000000001164,18,4,0,4,43,11,10,1,46
11,2019-11-11 11:00:00,261.2999999999884,18,4,0,4,43,11,11,1,46
12,2019-11-11 12:00:00,262.0,19,12,0,5,29,15,12,1,46
13,2019-11-11 13:00:00,203.70000000001164,19,12,0,5,29,15,13,1,46
14,2019-11-11 14:00:00,150.5,19,12,0,5,29,15,14,1,46
15,2019-11-11 15:00:00,230.3999999999651,19,12,0,5,29,15,15,1,46
16,2019-11-11 16:00:00,214.5,19,12,0,5,29,15,16,1,46
17,2019-11-12 00:00:00,358.09999999997666,10,9,0,7,64,9,0,2,46
18,2019-11-12 01:00:00,356.59999999997666,10,9,0,7,64,9,1,2,46
19,2019-11-12 02:00:00,356.10000000003487,10,9,0,7,64,9,2,2,46
20,2019-11-12 03:00:00,358.7999999999884,10,9,0,7,64,9,3,2,46
21,2019-11-12 04:00:00,350.90000000002334,10,9,0,7,64,9,4,2,46
22,2019-11-12 05:00:00,355.0,10,9,0,7,64,9,5,2,46
23,2019-11-12 06:00:00,339.5999999999767,19,10,0,6,53,14,6,2,46
24,2019-11-12 07:00:00,338.4000000000233,19,10,0,6,53,14,7,2,46
25,2019-11-12 08:00:00,357.19999999995343,19,10,0,6,53,14,8,2,46
26,2019-11-12 09:00:00,342.9000000000233,19,10,0,6,53,14,9,2,46
27,2019-11-12 10:00:00,345.40000000002334,19,10,0,6,53,14,10,2,46
28,2019-11-12 11:00:00,186.19999999995343,19,10,0,6,53,14,11,2,46
29,2019-11-12 12:00:00,221.80000000004657,19,14,0,5,41,16,12,2,46
30,2019-11-12 13:00:00,111.89999999996508,19,14,0,5,41,16,13,2,46
31,2019-11-12 16:00:00,174.5,19,14,0,5,41,16,16,2,46
32,2019-11-12 17:00:00,102.79999999998836,19,14,0,5,41,16,17,2,46
33,2019-11-12 23:00:00,287.9000000000233,15,13,0,5,64,14,23,2,46
34,2019-11-13 00:00:00,360.09999999997666,16,12,0,18,39,14,0,3,46
35,2019-11-13 01:00:00,357.0,16,12,0,18,39,14,1,3,46
36,2019-11-13 02:00:00,351.59999999997666,16,12,0,18,39,14,2,3,46
37,2019-11-13 03:00:00,356.5,16,12,0,18,39,14,3,3,46
38,2019-11-13 04:00:00,349.7000000000116,16,12,0,18,39,14,4,3,46
39,2019-11-13 05:00:00,445.7000000000117,16,12,0,18,39,14,5,3,46
40,2019-11-13 06:00:00,590.7000000000116,12,9,0,35,27,10,6,3,46
41,2019-11-13 07:00:00,377.2999999999884,12,9,0,35,27,10,7,3,46
42,2019-11-13 08:00:00,352.7000000000116,12,9,0,35,27,10,8,3,46
