时间,操作
2019-11-27 23:00:00,启动A+B水蓄能
2019-11-28 07:50:00,关闭A+B水蓄能
2019-11-28 08:20:00,启动水蓄能放热主管
2019-11-28 12:00:00,关闭水蓄能放热主管
2019-11-28 13:00:00,启动A+B直供主管
2019-11-28 16:30:00,关闭A+B直供主管
2019-11-28 23:00:00,启动A+B水蓄能
2019-11-29 03:00:00,关闭A+B水蓄能
2019-11-29 03:30:00,启动A+B直供主管
2019-11-29 07:00:00,关闭A+B直供主管
2019-11-29 07:10:00,启动水蓄能放热主管
2019-11-29 16:30:00,关闭水蓄能放热主管
2019-11-29 23:00:00,启动A+B水蓄能
2019-11-30 06:30:00,关闭A+B水蓄能
2019-12-01 23:00:00,启动A+B直供主管
2019-12-02 07:00:00,关闭A+B直供主管
2019-12-02 07:10:00,启动水蓄能放热主管
2019-12-02 12:00:00,关闭水蓄能放热主管
2019-12-02 13:30-16:00,设备调试
2019-12-02 16:20:00,启动A+B直供主管
2019-12-02 22:00:00,关闭A+B直供主管
2019-12-02 23:05:00,启动A+B直供主管
2019-12-02 23:30:00,关闭A+B直供主管
2019-12-03 00:00:00,启动A+B直供主管
2019-12-03 06:45:00,关闭A+B直供主管
2019-12-03 07:05:00,启动水蓄能放热主管
2019-12-03 10:00:00,关闭水蓄能放热主管
2019-12-03 10:10:00,启动A+B直供主管
2019-12-03 13:45:00,关闭A+B直供主管
2019-12-03 13:50-17:00,设备调试
2019-12-03 23:00:00,启动A+B水蓄能
2019-12-04 03:15:00,关闭A+B水蓄能
2019-12-04 03:30:00,启动A+B直供主管
2019-12-04 06:45:00,关闭A+B直供主管
2019-12-04 07:05:00,启动水蓄能放热主管
2019-12-04 11:00:00,关闭水蓄能放热主管
2019-12-04 11:30:00,启动A+B直供主管
2019-12-04 17:05:00,关闭A+B直供主管
2019-12-04 23:00:00,启动A+B水蓄能
2019-12-05 03:50:00,关闭A+B水蓄能
2019-12-05 04:00:00,启动A+B直供主管
2019-12-05 06:45:00,关闭A+B直供主管
2019-12-05 07:05:00,启动水蓄能放热主管
2019-12-05 10:45:00,关闭水蓄能放热主管
2019-12-05 11:10:00,启动A+B直供主管
2019-12-05 16:55:00,关闭A+B直供主管
2019-12-05 23:00:00,启动A+B水蓄能
2019-12-06 03:45:00,关闭A+B水蓄能
2019-12-06 04:00:00,启动A+B直供主管
2019-12-06 06:45:00,关闭A+B直供主管
2019-12-06 07:05:00,启动水蓄能放热主管
2019-12-06 10:30:00,太阳能设备调试
2019-12-06 10:50:00,关闭水蓄能放热主管
2019-12-06 11:00:00,启动A+B直供主管
2019-12-06 11:25:00,关闭A+B直供主管
2019-12-06 11:45:00,启动水蓄能放热主管
2019-12-06 13:15:00,启动B主机供调节管
2019-12-06 14:15-14:30,暂时关闭当前运行工况，进行太阳能调试
2019-12-06 14:35:00,启动水蓄能放热主管
2019-12-06 14:40:00,启动B主机供调节管
2019-12-06 16:50:00,关闭B主机直供调节管
2019-12-06 16:50:00,关闭水蓄能放热主管
2019-12-06 23:15:00,启动A+B水蓄能
2019-12-07 05:45:00,关闭A+B水蓄能
2019-12-07 06:00:00,启动A+B直供主管
2019-12-07 06:55:00,关闭A+B直供主管
2019-12-07 23:15:00,启动A+B水蓄能
2019-12-07 23:30:00,关闭A+B水蓄能
2019-12-07 23:35:00,启动A+B直供主管
2019-12-08 07:10:00,关闭A+B直供主管
2019-12-08 23:15:00,启动A+B水蓄能
2019-12-08 23:25:00,关闭A+B水蓄能
2019-12-08 23:35:00,启动A+B直供主管
2019-12-09 07:05:00,关闭A+B直供主管
2019-12-09 7:10-11:00,设备调试
2019-12-09 11:10:00,启动A+B直供主管
2019-12-09 12:40:00,关闭A+B直供主管
2019-12-09 12:50:00,启动水蓄能放热主管
2019-12-09 15:45:00,关闭水蓄能放热主管
2019-12-09 17:10:00,启动A+B直供主管
2019-12-09 22:00:00,关闭A+B直供主管
2019-12-09 23:00:00,启动A+B水蓄能
2019-12-10 04:05:00,关闭A+B水蓄能
2019-12-10 04:20:00,启动A+B直供主管
2019-12-10 06:40:00,关闭A+B直供主管
2019-12-10 06:45:00,启动水蓄能放热主管
2019-12-10 11:25:00,关闭水蓄能放热主管
2019-12-10 11:30:00,启动A+B直供主管
2019-12-10 19:40:00,关闭A+B直供主管
2019-12-10 22:55:00,启动A+B水蓄能
2019-12-11 05:10:00,关闭A+B水蓄能
2019-12-11 05:25:00,启动A+B直供主管
2019-12-11 06:45:00,关闭A+B直供主管
2019-12-11 07:05:00,启动水蓄能放热主管
2019-12-11 11:15:00,关闭水蓄能放热主管
2019-12-11 11:20:00,启动A+B直供主管
2019-12-11 12:00:00,启动太阳能工作日直供主管
2019-12-11 14:05:00,关闭太阳能工作日直供主管
2019-12-11 17:30:00,关闭A+B直供主管
2019-12-11 23:00:00,启动A+B水蓄能
2019-12-12 04:45:00,关闭A+B水蓄能
2019-12-12 05:00:00,启动A+B直供主管
2019-12-12 06:55:00,关闭A+B直供主管
2019-12-12 07:10:00,启动水蓄能放热主管
2019-12-12 10:55:00,关闭水蓄能放热主管
2019-12-12 11:05:00,启动A+B直供主管
2019-12-12 13:10:00,启动太阳能工作日直供主管
2019-12-12 14:30:00,关闭太阳能工作日直供主管
2019-12-12 17:00:00,关闭A+B直供主管
2019-12-12 23:00:00,启动A+B水蓄能
2019-12-13 04:30:00,关闭A+B水蓄能
2019-12-13 04:45:00,启动A+B直供主管
2019-12-13 06:50:00,关闭A+B直供主管
2019-12-13 07:00:00,启动水蓄能放热主管
