时间,energy
2019-06-01 00:00:00,229893.405
2019-06-01 01:00:00,229922.296
2019-06-01 02:00:00,229949.796
2019-06-01 03:00:00,229977.608
2019-06-01 04:00:00,230005.405
2019-06-01 05:00:00,230033.5
2019-06-01 06:00:00,230061.108
2019-06-01 07:00:00,230088.796
2019-06-01 08:00:00,230117.703
2019-06-01 09:00:00,230146.608
2019-06-01 10:00:00,230177.108
2019-06-01 11:00:00,230207.0
2019-06-01 12:00:00,230236.405
2019-06-01 13:00:00,230265.608
2019-06-01 14:00:00,230294.703
2019-06-01 15:00:00,230323.905
2019-06-01 16:00:00,230353.405
2019-06-01 17:00:00,230382.608
2019-06-01 18:00:00,230411.608
2019-06-01 19:00:00,230440.296
2019-06-01 20:00:00,230469.405
2019-06-01 21:00:00,230498.203
2019-06-01 22:00:00,230527.296
2019-06-01 23:00:00,230555.905
2019-06-02 00:00:00,230583.796
2019-06-02 01:00:00,230611.296
2019-06-02 02:00:00,230638.905
2019-06-02 04:00:00,230694.203
2019-06-02 05:00:00,230722.203
2019-06-02 06:00:00,230749.796
2019-06-02 07:00:00,230778.5
2019-06-02 08:00:00,230807.5
2019-06-02 09:00:00,230836.405
2019-06-02 10:00:00,230865.296
2019-06-02 11:00:00,230894.203
2019-06-02 12:00:00,230923.608
2019-06-02 13:00:00,230952.905
2019-06-02 14:00:00,230982.203
2019-06-02 15:00:00,231011.796
2019-06-02 16:00:00,231041.5
2019-06-02 17:00:00,231071.108
2019-06-02 18:00:00,231100.703
2019-06-02 19:00:00,231130.108
2019-06-02 20:00:00,231159.203
2019-06-02 21:00:00,231188.905
2019-06-02 22:00:00,231217.905
2019-06-03 00:00:00,231275.405
2019-06-03 01:00:00,231304.703
2019-06-03 02:00:00,231333.5
2019-06-03 03:00:00,231362.296
2019-06-03 04:00:00,231391.405
2019-06-03 05:00:00,231420.405
2019-06-03 06:00:00,231473.203
2019-06-03 07:00:00,231530.0
2019-06-03 08:00:00,231597.905
2019-06-03 10:00:00,231790.296
2019-06-03 11:00:00,231897.703
2019-06-03 12:00:00,231994.905
2019-06-03 13:00:00,232087.608
2019-06-03 14:00:00,232165.203
2019-06-03 15:00:00,232245.796
