SDATE,temp,wind,humidity,describe,is_holiday
2020/01/14 00:00,-6.2,14,50,High level clouds.,0
2020/01/14 01:00,-6.7,14,52,Clear.,0
2020/01/14 02:00,-7.2,14,54,Clear.,0
2020/01/14 03:00,-7.6,13,57,Clear.,0
2020/01/14 04:00,-8.0,13,59,Clear.,0
2020/01/14 05:00,-8.4,13,62,Clear.,0
2020/01/14 06:00,-9.0,13,65,Clear.,0
2020/01/14 07:00,-9.5,12,67,Sunny.,0
2020/01/14 08:00,-9.5,12,67,Sunny.,0
2020/01/14 09:00,-7.9,12,58,Sunny.,0
2020/01/14 10:00,-5.4,12,47,Sunny.,0
2020/01/14 11:00,-3.6,12,39,Sunny.,0
2020/01/14 12:00,-1.9,12,34,Sunny.,0
2020/01/14 13:00,-0.6,12,30,Sunny.,0
2020/01/14 14:00,0.0,10,29,Sunny.,0
2020/01/14 15:00,0.3,9,29,Sunny.,0
2020/01/14 16:00,-0.1,7,30,Sunny.,0
2020/01/14 17:00,-1.5,5,35,High level clouds.,0
2020/01/14 18:00,-3.6,3,42,High level clouds.,0
2020/01/14 19:00,-4.7,3,46,High level clouds.,0
2020/01/14 20:00,-5.1,4,48,High level clouds.,0
2020/01/14 21:00,-5.0,6,49,High level clouds.,0
2020/01/14 22:00,-5.5,8,51,Clear.,0
2020/01/14 23:00,-6.1,8,53,Clear.,0
2020/01/15 00:00,-6.5,8,56,Clear.,0
2020/01/15 01:00,-7.2,9,61,Clear.,0
2020/01/15 02:00,-7.8,9,65,Clear.,0
2020/01/15 03:00,-8.3,8,69,Clear.,0
2020/01/15 04:00,-8.6,8,71,Clear.,0
2020/01/15 05:00,-9.0,8,74,Clear.,0
2020/01/15 06:00,-9.4,8,77,Clear.,0
2020/01/15 07:00,-9.9,8,80,High level clouds.,0
2020/01/15 08:00,-9.8,9,80,High level clouds.,0
2020/01/15 09:00,-8.2,9,71,High level clouds.,0
2020/01/15 10:00,-5.7,10,59,High level clouds.,0
2020/01/15 11:00,-3.9,10,51,High level clouds.,0
2020/01/15 12:00,-2.0,10,45,High level clouds.,0
2020/01/15 13:00,-0.5,10,43,High level clouds.,0
2020/01/15 14:00,0.4,10,41,High level clouds.,0
2020/01/15 15:00,1.0,10,41,High level clouds.,0
2020/01/15 16:00,0.5,9,43,High level clouds.,0
2020/01/15 17:00,-0.8,9,49,High level clouds.,0
2020/01/15 18:00,-1.2,8,52,High level clouds.,0
2020/01/15 19:00,-2.2,7,56,Passing clouds.,0
2020/01/15 20:00,-2.8,6,60,Passing clouds.,0
2020/01/15 21:00,-3.2,6,64,Passing clouds.,0
2020/01/15 22:00,-3.5,5,66,High level clouds.,0
2020/01/15 23:00,-3.8,4,69,High level clouds.,0
2020/01/16 00:00,-4.3,4,72,High level clouds.,0
2020/01/16 01:00,-4.9,4,77,High level clouds.,0
2020/01/16 02:00,-5.5,4,82,High level clouds.,0
2020/01/16 03:00,-5.6,5,83,High level clouds.,0
2020/01/16 04:00,-4.9,6,79,High level clouds.,0
2020/01/16 05:00,-4.6,8,76,High level clouds.,0
2020/01/16 06:00,-5.0,9,78,Passing clouds.,0
2020/01/16 07:00,-5.2,9,78,More sun than clouds.,0
2020/01/16 08:00,-5.1,10,77,More sun than clouds.,0
2020/01/16 09:00,-4.3,10,69,High level clouds.,0
2020/01/16 10:00,-2.9,10,58,High level clouds.,0
2020/01/16 11:00,-1.8,10,50,High level clouds.,0
2020/01/16 12:00,-0.6,10,43,High level clouds.,0
2020/01/16 13:00,0.3,9,37,High level clouds.,0
2020/01/16 14:00,0.8,9,35,High level clouds.,0
2020/01/16 15:00,1.1,8,33,High level clouds.,0
2020/01/16 16:00,0.8,7,35,High level clouds.,0
2020/01/16 17:00,-0.1,6,38,High level clouds.,0
2020/01/16 18:00,-1.4,7,42,High level clouds.,0
2020/01/16 19:00,-1.6,8,43,High level clouds.,0
2020/01/16 20:00,-2.6,9,47,High level clouds.,0
2020/01/16 21:00,-3.6,8,51,High level clouds.,0
2020/01/16 22:00,-4.3,6,55,High level clouds.,0
2020/01/16 23:00,-5.0,5,59,High level clouds.,0
