SDATE,energy,temphigh,templow,is_holiday,wind,humidity,tempavg,hour,weekofyear,dayofweek,season
2019-06-01 00:00:00,56.98500000000058,23,19,1,8,43,21,0,22,6,1
2019-06-01 01:00:00,54.90600000000268,23,19,1,8,43,21,1,22,6,1
2019-06-01 02:00:00,54.90600000000268,23,19,1,8,43,21,2,22,6,1
2019-06-01 03:00:00,54.296999999991385,23,19,1,8,43,21,3,22,6,1
2019-06-01 04:00:00,55.00100000000384,23,19,1,8,43,21,4,22,6,1
2019-06-01 05:00:00,54.404999999998836,23,19,1,8,43,21,5,22,6,1
2019-06-01 06:00:00,54.98500000000058,26,20,1,14,41,23,6,22,6,1
2019-06-01 07:00:00,58.61000000000058,26,20,1,14,41,23,7,22,6,1
2019-06-01 08:00:00,58.00600000000851,26,20,1,14,41,23,8,22,6,1
2019-06-01 09:00:00,59.10199999999895,26,20,1,14,41,23,9,22,6,1
2019-06-01 10:00:00,47.98599999998987,26,20,1,14,41,23,10,22,6,1
2019-06-01 11:00:00,47.10799999999291,26,20,1,14,41,23,11,22,6,1
2019-06-01 12:00:00,47.102000000013504,31,26,1,15,31,28,12,22,6,1
2019-06-01 13:00:00,47.89900000000489,31,26,1,15,31,28,13,22,6,1
2019-06-01 14:00:00,47.897999999986496,31,26,1,15,31,28,14,22,6,1
2019-06-01 15:00:00,48.10099999999511,31,26,1,15,31,28,15,22,6,1
2019-06-01 16:00:00,47.80400000001828,31,26,1,15,31,28,16,22,6,1
2019-06-01 17:00:00,48.60199999999895,31,26,1,15,31,28,17,22,6,1
2019-06-01 18:00:00,47.98499999998603,29,22,1,11,58,25,18,22,6,1
2019-06-01 19:00:00,47.812000000005355,29,22,1,11,58,25,19,22,6,1
2019-06-01 20:00:00,47.494000000006054,29,22,1,11,58,25,20,22,6,1
2019-06-01 21:00:00,47.896999999997206,29,22,1,11,58,25,21,22,6,1
2019-06-01 22:00:00,46.804999999993015,29,22,1,11,58,25,22,22,6,1
2019-06-01 23:00:00,46.28900000000431,29,22,1,11,58,25,23,22,6,1
2019-06-02 00:00:00,45.40600000000268,23,20,1,8,75,21,0,22,7,1
2019-06-02 01:00:00,45.905999999988126,23,20,1,8,75,21,1,22,7,1
2019-06-02 02:00:00,89.59500000001573,23,20,1,8,75,21,2,22,7,1
2019-06-02 04:00:00,44.90600000000268,23,20,1,8,75,21,4,22,7,1
2019-06-02 05:00:00,44.6869999999908,23,20,1,8,75,21,5,22,7,1
2019-06-02 06:00:00,45.61000000000058,31,20,1,16,55,25,6,22,7,1
2019-06-02 07:00:00,46.796999999991385,31,20,1,16,55,25,7,22,7,1
2019-06-02 08:00:00,46.60800000000746,31,20,1,16,55,25,8,22,7,1
2019-06-02 09:00:00,47.586999999999534,31,20,1,16,55,25,9,22,7,1
2019-06-02 10:00:00,47.90700000000652,31,20,1,16,55,25,10,22,7,1
2019-06-02 11:00:00,47.70900000000257,31,20,1,16,55,25,11,22,7,1
2019-06-02 12:00:00,47.89099999998871,33,31,1,11,37,32,12,22,7,1
2019-06-02 13:00:00,48.79800000000978,33,31,1,11,37,32,13,22,7,1
2019-06-02 14:00:00,51.69499999999243,33,31,1,11,37,32,14,22,7,1
2019-06-02 15:00:00,50.703999999997905,33,31,1,11,37,32,15,22,7,1
2019-06-02 16:00:00,52.10800000000745,33,31,1,11,37,32,16,22,7,1
2019-06-02 17:00:00,49.99300000000221,33,31,1,11,37,32,17,22,7,1
2019-06-02 18:00:00,49.40499999999884,31,26,1,14,50,28,18,22,7,1
2019-06-02 19:00:00,50.00100000000384,31,26,1,14,50,28,19,22,7,1
2019-06-02 20:00:00,50.397999999986496,31,26,1,14,50,28,20,22,7,1
2019-06-02 21:00:00,48.60099999999511,31,26,1,14,50,28,21,22,7,1
2019-06-02 22:00:00,92.79700000000594,31,26,1,14,50,28,22,22,7,1
2019-06-03 00:00:00,46.79800000000978,26,20,0,16,67,23,0,23,1,1
2019-06-03 01:00:00,45.796999999991385,26,20,0,16,67,23,1,23,1,1
2019-06-03 02:00:00,45.79600000000209,26,20,0,16,67,23,2,23,1,1
2019-06-03 03:00:00,45.8119999999908,26,20,0,16,67,23,3,23,1,1
2019-06-03 04:00:00,45.203000000008615,26,20,0,16,67,23,4,23,1,1
2019-06-03 05:00:00,69.3920000000071,26,20,0,16,67,23,5,23,1,1
2019-06-03 06:00:00,79.29699999999139,27,22,0,11,59,24,6,23,1,1
2019-06-03 07:00:00,112.1079999999929,27,22,0,11,59,24,7,23,1,1
