SDATE,energy,temphigh,templow,is_holiday,wind,humidity,tempavg,hour,dayofweek,weekofyear
2019-06-01 00:00:00,0.0,23,19,1,8,43,21,0,6,22
2019-06-01 01:00:00,276.0,23,19,1,8,43,21,1,6,22
2019-06-01 02:00:00,124.0,23,19,1,8,43,21,2,6,22
2019-06-01 03:00:00,43.0,23,19,1,8,43,21,3,6,22
2019-06-01 04:00:00,172.0,23,19,1,8,43,21,4,6,22
2019-06-01 05:00:00,121.0,23,19,1,8,43,21,5,6,22
2019-06-01 06:00:00,83.0,26,20,1,14,41,23,6,6,22
2019-06-01 07:00:00,88.0,26,20,1,14,41,23,7,6,22
2019-06-01 08:00:00,174.0,26,20,1,14,41,23,8,6,22
2019-06-01 09:00:00,101.0,26,20,1,14,41,23,9,6,22
2019-06-01 10:00:00,93.0,26,20,1,14,41,23,10,6,22
2019-06-01 11:00:00,76.0,26,20,1,14,41,23,11,6,22
2019-06-01 13:00:00,268.0,31,26,1,15,31,28,13,6,22
2019-06-01 14:00:00,60.0,31,26,1,15,31,28,14,6,22
2019-06-01 15:00:00,154.0,31,26,1,15,31,28,15,6,22
2019-06-01 16:00:00,119.0,31,26,1,15,31,28,16,6,22
2019-06-01 17:00:00,112.0,31,26,1,15,31,28,17,6,22
2019-06-01 18:00:00,84.0,29,22,1,11,58,25,18,6,22
2019-06-01 19:00:00,139.0,29,22,1,11,58,25,19,6,22
2019-06-01 20:00:00,78.0,29,22,1,11,58,25,20,6,22
2019-06-01 21:00:00,136.0,29,22,1,11,58,25,21,6,22
2019-06-01 22:00:00,107.0,29,22,1,11,58,25,22,6,22
2019-06-01 23:00:00,73.0,29,22,1,11,58,25,23,6,22
2019-06-02 00:00:00,141.0,23,20,1,8,75,21,0,7,22
2019-06-02 01:00:00,105.0,23,20,1,8,75,21,1,7,22
2019-06-02 02:00:00,118.0,23,20,1,8,75,21,2,7,22
2019-06-02 03:00:00,120.0,23,20,1,8,75,21,3,7,22
2019-06-02 04:00:00,89.0,23,20,1,8,75,21,4,7,22
2019-06-02 05:00:00,125.0,23,20,1,8,75,21,5,7,22
2019-06-02 06:00:00,47.0,31,20,1,16,55,25,6,7,22
2019-06-02 07:00:00,149.0,31,20,1,16,55,25,7,7,22
2019-06-02 08:00:00,115.0,31,20,1,16,55,25,8,7,22
2019-06-02 09:00:00,100.0,31,20,1,16,55,25,9,7,22
2019-06-02 10:00:00,65.0,31,20,1,16,55,25,10,7,22
2019-06-02 11:00:00,119.0,31,20,1,16,55,25,11,7,22
2019-06-02 12:00:00,77.0,33,31,1,11,37,32,12,7,22
2019-06-02 13:00:00,101.0,33,31,1,11,37,32,13,7,22
2019-06-02 14:00:00,81.0,33,31,1,11,37,32,14,7,22
2019-06-02 15:00:00,116.0,33,31,1,11,37,32,15,7,22
2019-06-02 16:00:00,83.0,33,31,1,11,37,32,16,7,22
2019-06-02 17:00:00,116.0,33,31,1,11,37,32,17,7,22
2019-06-02 18:00:00,104.0,31,26,1,14,50,28,18,7,22
2019-06-02 19:00:00,93.0,31,26,1,14,50,28,19,7,22
2019-06-02 20:00:00,66.0,31,26,1,14,50,28,20,7,22
2019-06-02 21:00:00,146.0,31,26,1,14,50,28,21,7,22
2019-06-02 22:00:00,68.0,31,26,1,14,50,28,22,7,22
2019-06-02 23:00:00,94.0,31,26,1,14,50,28,23,7,22
2019-06-03 00:00:00,96.0,26,20,0,16,67,23,0,1,23
2019-06-03 01:00:00,119.0,26,20,0,16,67,23,1,1,23
2019-06-03 02:00:00,95.0,26,20,0,16,67,23,2,1,23
2019-06-03 03:00:00,101.0,26,20,0,16,67,23,3,1,23
2019-06-03 04:00:00,88.0,26,20,0,16,67,23,4,1,23
2019-06-03 05:00:00,92.0,26,20,0,16,67,23,5,1,23
2019-06-03 06:00:00,89.0,27,22,0,11,59,24,6,1,23
2019-06-03 07:00:00,93.0,27,22,0,11,59,24,7,1,23
2019-06-03 08:00:00,96.0,27,22,0,11,59,24,8,1,23
2019-06-03 09:00:00,108.0,27,22,0,11,59,24,9,1,23
2019-06-03 10:00:00,83.0,27,22,0,11,59,24,10,1,23
2019-06-03 11:00:00,101.0,27,22,0,11,59,24,11,1,23
2019-06-03 12:00:00,154.0,30,27,0,8,45,28,12,1,23
2019-06-03 13:00:00,13.0,30,27,0,8,45,28,13,1,23
2019-06-03 17:00:00,119.0,30,27,0,8,45,28,17,1,23
2019-06-03 18:00:00,139.0,29,20,0,15,69,24,18,1,23
2019-06-03 19:00:00,126.0,29,20,0,15,69,24,19,1,23
2019-06-03 20:00:00,135.0,29,20,0,15,69,24,20,1,23
2019-06-03 21:00:00,80.0,29,20,0,15,69,24,21,1,23
2019-06-03 22:00:00,120.0,29,20,0,15,69,24,22,1,23
2019-06-03 23:00:00,100.0,29,20,0,15,69,24,23,1,23
2019-06-04 00:00:00,122.0,20,19,0,11,82,19,0,2,23
2019-06-04 01:00:00,108.0,20,19,0,11,82,19,1,2,23
2019-06-04 02:00:00,106.0,20,19,0,11,82,19,2,2,23
2019-06-04 03:00:00,63.0,20,19,0,11,82,19,3,2,23
2019-06-04 04:00:00,59.0,20,19,0,11,82,19,4,2,23
2019-06-04 05:00:00,171.0,20,19,0,11,82,19,5,2,23
2019-06-04 06:00:00,96.0,23,19,0,13,74,21,6,2,23
