SDATE,energy,temphigh,templow,is_holiday,wind,humidity,tempavg,hour,dayofweek,weekofyear
2019-09-23 18:00:00,123.0,29,24,0,8,49,26,18,1,39
2019-09-23 19:00:00,124.59999999997672,29,24,0,8,49,26,19,1,39
2019-09-23 20:00:00,120.90000000002328,29,24,0,8,49,26,20,1,39
2019-09-23 21:00:00,120.79999999998836,29,24,0,8,49,26,21,1,39
2019-09-23 22:00:00,117.59999999997672,29,24,0,8,49,26,22,1,39
2019-09-23 23:00:00,117.20000000001164,29,24,0,8,49,26,23,1,39
2019-09-24 00:00:00,115.59999999997672,24,17,0,4,67,20,0,2,39
2019-09-24 01:00:00,112.0,24,17,0,4,67,20,1,2,39
2019-09-24 02:00:00,112.80000000004655,24,17,0,4,67,20,2,2,39
2019-09-24 03:00:00,110.39999999996508,24,17,0,4,67,20,3,2,39
2019-09-24 04:00:00,107.60000000003492,24,17,0,4,67,20,4,2,39
2019-09-24 05:00:00,106.5,24,17,0,4,67,20,5,2,39
2019-09-24 06:00:00,105.09999999997672,29,18,0,14,55,23,6,2,39
2019-09-24 07:00:00,102.09999999997672,29,18,0,14,55,23,7,2,39
2019-09-24 08:00:00,102.40000000002328,29,18,0,14,55,23,8,2,39
2019-09-24 09:00:00,101.09999999997672,29,18,0,14,55,23,9,2,39
2019-09-24 10:00:00,104.40000000002328,29,18,0,14,55,23,10,2,39
2019-09-24 11:00:00,105.79999999998836,29,18,0,14,55,23,11,2,39
2019-09-24 12:00:00,105.40000000002328,30,24,0,16,39,27,12,2,39
2019-09-24 13:00:00,108.70000000001164,30,24,0,16,39,27,13,2,39
2019-09-24 14:00:00,108.5,30,24,0,16,39,27,14,2,39
2019-09-24 15:00:00,111.89999999996508,30,24,0,16,39,27,15,2,39
2019-09-24 16:00:00,114.0,30,24,0,16,39,27,16,2,39
2019-09-24 17:00:00,113.79999999998836,30,24,0,16,39,27,17,2,39
2019-09-24 18:00:00,115.40000000002328,24,19,0,5,75,21,18,2,39
2019-09-24 19:00:00,113.79999999998836,24,19,0,5,75,21,19,2,39
2019-09-24 20:00:00,112.60000000003492,24,19,0,5,75,21,20,2,39
2019-09-24 21:00:00,111.89999999996508,24,19,0,5,75,21,21,2,39
2019-09-24 22:00:00,109.10000000003492,24,19,0,5,75,21,22,2,39
2019-09-24 23:00:00,108.79999999998836,24,19,0,5,75,21,23,2,39
2019-09-25 00:00:00,108.09999999997672,19,16,0,3,90,17,0,3,39
2019-09-25 01:00:00,198.90000000002328,19,16,0,3,90,17,1,3,39
2019-09-25 02:00:00,0.0,19,16,0,3,90,17,2,3,39
2019-09-25 03:00:00,111.39999999996508,19,16,0,3,90,17,3,3,39
2019-09-25 04:00:00,99.10000000003492,19,16,0,3,90,17,4,3,39
2019-09-25 05:00:00,99.39999999996508,19,16,0,3,90,17,5,3,39
2019-09-25 06:00:00,96.60000000003492,29,16,0,4,65,22,6,3,39
2019-09-25 07:00:00,96.20000000001164,29,16,0,4,65,22,7,3,39
2019-09-25 08:00:00,96.69999999995345,29,16,0,4,65,22,8,3,39
2019-09-25 09:00:00,95.90000000002328,29,16,0,4,65,22,9,3,39
2019-09-25 10:00:00,98.0,29,16,0,4,65,22,10,3,39
2019-09-25 11:00:00,100.5,29,16,0,4,65,22,11,3,39
2019-09-25 12:00:00,99.79999999998836,31,27,0,6,30,29,12,3,39
2019-09-25 13:00:00,102.60000000003492,31,27,0,6,30,29,13,3,39
2019-09-25 14:00:00,25.899999999965075,31,27,0,6,30,29,14,3,39
